Individual ID	Gender	Population	SuperPop
HG01879	male	ACB	AFR
HG01880	female	ACB	AFR
HG01881	female	ACB	AFR
HG01882	male	ACB	AFR
HG01883	female	ACB	AFR
HG01884	female	ACB	AFR
HG01885	male	ACB	AFR
HG01886	female	ACB	AFR
HG01887	male	ACB	AFR
HG01888	male	ACB	AFR
HG01889	female	ACB	AFR
HG01890	male	ACB	AFR
HG01891	female	ACB	AFR
HG01894	female	ACB	AFR
HG01895	male	ACB	AFR
HG01896	female	ACB	AFR
HG01897	male	ACB	AFR
HG01912	male	ACB	AFR
HG01914	male	ACB	AFR
HG01915	female	ACB	AFR
HG01916	female	ACB	AFR
HG01956	female	ACB	AFR
HG01958	female	ACB	AFR
HG01959	female	ACB	AFR
HG01960	female	ACB	AFR
HG01985	female	ACB	AFR
HG01986	male	ACB	AFR
HG01987	male	ACB	AFR
HG01988	male	ACB	AFR
HG01989	female	ACB	AFR
HG01990	male	ACB	AFR
HG02009	male	ACB	AFR
HG02010	female	ACB	AFR
HG02011	male	ACB	AFR
HG02012	female	ACB	AFR
HG02013	male	ACB	AFR
HG02014	male	ACB	AFR
HG02051	male	ACB	AFR
HG02052	female	ACB	AFR
HG02053	male	ACB	AFR
HG02054	female	ACB	AFR
HG02055	male	ACB	AFR
HG02095	female	ACB	AFR
HG02107	male	ACB	AFR
HG02108	female	ACB	AFR
HG02111	female	ACB	AFR
HG02143	male	ACB	AFR
HG02144	female	ACB	AFR
HG02145	male	ACB	AFR
HG02255	male	ACB	AFR
HG02256	female	ACB	AFR
HG02257	female	ACB	AFR
HG02258	male	ACB	AFR
HG02280	female	ACB	AFR
HG02281	male	ACB	AFR
HG02282	female	ACB	AFR
HG02283	male	ACB	AFR
HG02284	male	ACB	AFR
HG02307	male	ACB	AFR
HG02308	female	ACB	AFR
HG02309	female	ACB	AFR
HG02314	male	ACB	AFR
HG02315	female	ACB	AFR
HG02316	male	ACB	AFR
HG02317	male	ACB	AFR
HG02318	female	ACB	AFR
HG02321	female	ACB	AFR
HG02322	female	ACB	AFR
HG02323	male	ACB	AFR
HG02325	female	ACB	AFR
HG02330	male	ACB	AFR
HG02332	male	ACB	AFR
HG02334	male	ACB	AFR
HG02337	female	ACB	AFR
HG02339	female	ACB	AFR
HG02343	male	ACB	AFR
HG02419	female	ACB	AFR
HG02420	male	ACB	AFR
HG02427	female	ACB	AFR
HG02428	male	ACB	AFR
HG02429	male	ACB	AFR
HG02433	male	ACB	AFR
HG02436	male	ACB	AFR
HG02439	male	ACB	AFR
HG02442	male	ACB	AFR
HG02445	male	ACB	AFR
HG02449	male	ACB	AFR
HG02450	female	ACB	AFR
HG02451	female	ACB	AFR
HG02455	male	ACB	AFR
HG02461	male	GWD	AFR
HG02462	female	GWD	AFR
HG02463	male	GWD	AFR
HG02464	male	GWD	AFR
HG02465	female	GWD	AFR
HG02466	male	GWD	AFR
HG02470	male	ACB	AFR
HG02471	female	ACB	AFR
HG02476	female	ACB	AFR
HG02477	female	ACB	AFR
HG02478	male	ACB	AFR
HG02479	female	ACB	AFR
HG02480	female	ACB	AFR
HG02481	male	ACB	AFR
HG02484	male	ACB	AFR
HG02485	female	ACB	AFR
HG02486	male	ACB	AFR
HG02489	male	ACB	AFR
HG02496	male	ACB	AFR
HG02497	female	ACB	AFR
HG02501	male	ACB	AFR
HG02502	female	ACB	AFR
HG02505	female	ACB	AFR
HG02508	female	ACB	AFR
HG02511	female	ACB	AFR
HG02536	male	ACB	AFR
HG02537	female	ACB	AFR
HG02541	male	ACB	AFR
HG02545	male	ACB	AFR
HG02546	female	ACB	AFR
HG02547	male	ACB	AFR
HG02549	female	ACB	AFR
HG02554	male	ACB	AFR
HG02555	female	ACB	AFR
HG02557	male	ACB	AFR
HG02558	female	ACB	AFR
HG02559	female	ACB	AFR
HG02561	male	GWD	AFR
HG02562	female	GWD	AFR
HG02563	male	GWD	AFR
HG02567	male	GWD	AFR
HG02568	female	GWD	AFR
HG02569	male	GWD	AFR
HG02570	male	GWD	AFR
HG02571	female	GWD	AFR
HG02572	male	GWD	AFR
HG02573	male	GWD	AFR
HG02574	female	GWD	AFR
HG02575	male	GWD	AFR
HG02577	female	ACB	AFR
HG02580	female	ACB	AFR
HG02582	male	GWD	AFR
HG02583	female	GWD	AFR
HG02584	male	GWD	AFR
HG02585	male	GWD	AFR
HG02586	female	GWD	AFR
HG02587	female	GWD	AFR
HG02588	male	GWD	AFR
HG02589	female	GWD	AFR
HG02590	male	GWD	AFR
HG02594	male	GWD	AFR
HG02595	female	GWD	AFR
HG02596	male	GWD	AFR
HG02610	male	GWD	AFR
HG02611	female	GWD	AFR
HG02612	male	GWD	AFR
HG02613	male	GWD	AFR
HG02614	female	GWD	AFR
HG02615	female	GWD	AFR
HG02620	male	GWD	AFR
HG02621	female	GWD	AFR
HG02622	female	GWD	AFR
HG02623	male	GWD	AFR
HG02624	female	GWD	AFR
