Individual ID	Gender	Population	SuperPop
HG00551	female	PUR	AMR
HG00552	male	PUR	AMR
HG00553	male	PUR	AMR
HG00554	female	PUR	AMR
HG00555	female	PUR	AMR
HG00637	male	PUR	AMR
HG00638	female	PUR	AMR
HG00639	female	PUR	AMR
HG00640	male	PUR	AMR
HG00641	female	PUR	AMR
HG00642	male	PUR	AMR
HG00731	male	PUR	AMR
HG00732	female	PUR	AMR
HG00734	female	PUR	AMR
HG00735	female	PUR	AMR
HG00736	male	PUR	AMR
HG00737	female	PUR	AMR
HG00738	male	PUR	AMR
HG00739	male	PUR	AMR
HG00740	female	PUR	AMR
HG00741	female	PUR	AMR
HG00742	male	PUR	AMR
HG00743	female	PUR	AMR
HG01047	male	PUR	AMR
HG01048	male	PUR	AMR
HG01049	female	PUR	AMR
HG01050	female	PUR	AMR
HG01051	male	PUR	AMR
HG01052	female	PUR	AMR
HG01053	female	PUR	AMR
HG01054	male	PUR	AMR
HG01055	female	PUR	AMR
HG01056	male	PUR	AMR
HG01058	female	PUR	AMR
HG01060	male	PUR	AMR
HG01061	female	PUR	AMR
HG01062	female	PUR	AMR
HG01063	male	PUR	AMR
HG01064	female	PUR	AMR
HG01066	male	PUR	AMR
HG01067	female	PUR	AMR
HG01068	female	PUR	AMR
HG01069	male	PUR	AMR
HG01070	female	PUR	AMR
HG01071	female	PUR	AMR
HG01072	male	PUR	AMR
HG01073	female	PUR	AMR
HG01074	male	PUR	AMR
HG01075	male	PUR	AMR
HG01077	female	PUR	AMR
HG01079	male	PUR	AMR
HG01080	female	PUR	AMR
HG01081	female	PUR	AMR
HG01082	male	PUR	AMR
HG01083	female	PUR	AMR
HG01084	female	PUR	AMR
HG01085	male	PUR	AMR
HG01086	female	PUR	AMR
HG01087	female	PUR	AMR
HG01088	male	PUR	AMR
HG01089	female	PUR	AMR
HG01090	male	PUR	AMR
HG01092	female	PUR	AMR
HG01094	male	PUR	AMR
HG01095	female	PUR	AMR
HG01096	male	PUR	AMR
HG01097	male	PUR	AMR
HG01098	female	PUR	AMR
HG01099	male	PUR	AMR
HG01100	female	PUR	AMR
HG01101	male	PUR	AMR
HG01102	female	PUR	AMR
HG01103	female	PUR	AMR
HG01104	male	PUR	AMR
HG01105	female	PUR	AMR
HG01106	male	PUR	AMR
HG01107	male	PUR	AMR
HG01108	female	PUR	AMR
HG01109	male	PUR	AMR
HG01110	male	PUR	AMR
HG01111	female	PUR	AMR
HG01112	male	CLM	AMR
HG01113	female	CLM	AMR
HG01114	female	CLM	AMR
HG01119	female	CLM	AMR
HG01121	male	CLM	AMR
HG01122	female	CLM	AMR
HG01123	female	CLM	AMR
HG01124	male	CLM	AMR
HG01125	female	CLM	AMR
HG01126	male	CLM	AMR
HG01130	male	CLM	AMR
HG01131	female	CLM	AMR
HG01133	male	CLM	AMR
HG01134	female	CLM	AMR
HG01135	male	CLM	AMR
HG01136	male	CLM	AMR
HG01137	female	CLM	AMR
HG01138	male	CLM	AMR
HG01139	male	CLM	AMR
HG01140	female	CLM	AMR
HG01141	female	CLM	AMR
HG01142	male	CLM	AMR
HG01148	male	CLM	AMR
HG01149	female	CLM	AMR
HG01150	female	CLM	AMR
HG01161	male	PUR	AMR
HG01162	female	PUR	AMR
HG01164	male	PUR	AMR
HG01167	male	PUR	AMR
HG01168	female	PUR	AMR
HG01169	female	PUR	AMR
HG01170	male	PUR	AMR
HG01171	female	PUR	AMR
HG01172	male	PUR	AMR
HG01173	male	PUR	AMR
HG01174	female	PUR	AMR
HG01175	female	PUR	AMR
HG01176	male	PUR	AMR
HG01177	female	PUR	AMR
HG01178	male	PUR	AMR
HG01182	male	PUR	AMR
HG01183	female	PUR	AMR
