Individual ID	Gender	Population	SuperPop
HG00403	male	CHS	EAS
HG00404	female	CHS	EAS
HG00405	female	CHS	EAS
HG00406	male	CHS	EAS
HG00407	female	CHS	EAS
HG00408	female	CHS	EAS
HG00409	male	CHS	EAS
HG00410	female	CHS	EAS
HG00411	male	CHS	EAS
HG00418	male	CHS	EAS
HG00419	female	CHS	EAS
HG00420	male	CHS	EAS
HG00421	male	CHS	EAS
HG00422	female	CHS	EAS
HG00423	female	CHS	EAS
HG00427	male	CHS	EAS
HG00428	female	CHS	EAS
HG00429	male	CHS	EAS
HG00436	male	CHS	EAS
HG00437	female	CHS	EAS
HG00438	female	CHS	EAS
HG00442	male	CHS	EAS
HG00443	female	CHS	EAS
HG00444	male	CHS	EAS
HG00445	male	CHS	EAS
HG00446	female	CHS	EAS
HG00447	female	CHS	EAS
HG00448	male	CHS	EAS
HG00449	female	CHS	EAS
HG00450	female	CHS	EAS
HG00451	male	CHS	EAS
HG00452	female	CHS	EAS
HG00453	female	CHS	EAS
HG00457	male	CHS	EAS
HG00458	female	CHS	EAS
HG00459	male	CHS	EAS
HG00463	male	CHS	EAS
HG00464	female	CHS	EAS
HG00465	male	CHS	EAS
HG00472	male	CHS	EAS
HG00473	female	CHS	EAS
HG00474	male	CHS	EAS
HG00475	male	CHS	EAS
HG00476	female	CHS	EAS
HG00477	male	CHS	EAS
HG00478	male	CHS	EAS
HG00479	female	CHS	EAS
HG00480	male	CHS	EAS
HG00500	male	CHS	EAS
HG00502	male	CHS	EAS
HG00512	male	CHS	EAS
HG00513	female	CHS	EAS
HG00514	female	CHS	EAS
HG00524	male	CHS	EAS
HG00525	female	CHS	EAS
HG00526	male	CHS	EAS
HG00530	male	CHS	EAS
HG00531	female	CHS	EAS
HG00532	male	CHS	EAS
HG00533	male	CHS	EAS
HG00534	female	CHS	EAS
HG00535	male	CHS	EAS
HG00536	male	CHS	EAS
HG00537	female	CHS	EAS
HG00538	male	CHS	EAS
HG00542	male	CHS	EAS
HG00543	female	CHS	EAS
HG00544	female	CHS	EAS
HG00556	male	CHS	EAS
HG00557	female	CHS	EAS
HG00558	female	CHS	EAS
HG00559	male	CHS	EAS
HG00560	female	CHS	EAS
HG00561	female	CHS	EAS
HG00565	male	CHS	EAS
HG00566	female	CHS	EAS
