Individual ID	Gender	Population	SuperPop
HG00096	male	GBR	EUR
HG00097	female	GBR	EUR
HG00098	male	GBR	EUR
HG00099	female	GBR	EUR
HG00100	female	GBR	EUR
HG00101	male	GBR	EUR
HG00102	female	GBR	EUR
HG00103	male	GBR	EUR
HG00104	female	GBR	EUR
HG00105	male	GBR	EUR
HG00106	female	GBR	EUR
HG00107	male	GBR	EUR
HG00108	male	GBR	EUR
HG00109	male	GBR	EUR
HG00110	female	GBR	EUR
HG00111	female	GBR	EUR
HG00112	male	GBR	EUR
HG00113	male	GBR	EUR
HG00114	male	GBR	EUR
HG00115	male	GBR	EUR
HG00116	male	GBR	EUR
HG00117	male	GBR	EUR
HG00118	female	GBR	EUR
HG00119	male	GBR	EUR
HG00120	female	GBR	EUR
HG00121	female	GBR	EUR
HG00122	female	GBR	EUR
HG00123	female	GBR	EUR
HG00125	female	GBR	EUR
HG00126	male	GBR	EUR
HG00127	female	GBR	EUR
HG00128	female	GBR	EUR
HG00129	male	GBR	EUR
HG00130	female	GBR	EUR
HG00131	male	GBR	EUR
HG00132	female	GBR	EUR
HG00133	female	GBR	EUR
HG00134	female	GBR	EUR
HG00135	female	GBR	EUR
HG00136	male	GBR	EUR
HG00137	female	GBR	EUR
HG00138	male	GBR	EUR
HG00139	male	GBR	EUR
HG00140	male	GBR	EUR
HG00141	male	GBR	EUR
HG00142	male	GBR	EUR
HG00143	male	GBR	EUR
HG00144	female	GBR	EUR
HG00145	male	GBR	EUR
HG00146	female	GBR	EUR
HG00147	female	GBR	EUR
HG00148	male	GBR	EUR
HG00149	male	GBR	EUR
HG00150	female	GBR	EUR
HG00151	male	GBR	EUR
HG00152	male	GBR	EUR
HG00153	female	GBR	EUR
HG00154	female	GBR	EUR
HG00155	male	GBR	EUR
HG00156	male	GBR	EUR
HG00157	male	GBR	EUR
HG00158	female	GBR	EUR
HG00159	male	GBR	EUR
HG00160	male	GBR	EUR
HG00171	female	FIN	EUR
HG00173	female	FIN	EUR
HG00174	female	FIN	EUR
HG00176	female	FIN	EUR
HG00177	female	FIN	EUR
HG00178	female	FIN	EUR
HG00179	female	FIN	EUR
HG00180	female	FIN	EUR
HG00181	male	FIN	EUR
HG00182	male	FIN	EUR
HG00183	male	FIN	EUR
HG00185	male	FIN	EUR
HG00186	male	FIN	EUR
HG00187	male	FIN	EUR
HG00188	male	FIN	EUR
HG00189	male	FIN	EUR
HG00190	male	FIN	EUR
HG00231	female	GBR	EUR
HG00232	female	GBR	EUR
HG00233	female	GBR	EUR
HG00234	male	GBR	EUR
HG00235	female	GBR	EUR
HG00236	female	GBR	EUR
HG00237	female	GBR	EUR
HG00238	female	GBR	EUR
HG00239	female	GBR	EUR
HG00240	female	GBR	EUR
HG00242	male	GBR	EUR
HG00243	male	GBR	EUR
HG00244	male	GBR	EUR
HG00245	female	GBR	EUR
HG00246	male	GBR	EUR
HG00247	female	GBR	EUR
HG00248	female	GBR	EUR
HG00249	female	GBR	EUR
HG00250	female	GBR	EUR
HG00251	male	GBR	EUR
HG00252	male	GBR	EUR
HG00253	female	GBR	EUR
HG00254	female	GBR	EUR
HG00255	female	GBR	EUR
HG00256	male	GBR	EUR
HG00257	female	GBR	EUR
HG00258	female	GBR	EUR
HG00259	female	GBR	EUR
HG00260	male	GBR	EUR
HG00261	female	GBR	EUR
HG00262	female	GBR	EUR
HG00263	female	GBR	EUR
HG00264	male	GBR	EUR
HG00265	male	GBR	EUR
HG00266	female	FIN	EUR
HG00267	male	FIN	EUR
HG00268	female	FIN	EUR
HG00269	female	FIN	EUR
HG00270	female	FIN	EUR
HG00271	male	FIN	EUR
HG00272	female	FIN	EUR
HG00273	male	FIN	EUR
HG00274	female	FIN	EUR
HG00275	female	FIN	EUR
HG00276	female	FIN	EUR
HG00277	male	FIN	EUR
HG00278	male	FIN	EUR
HG00280	male	FIN	EUR
HG00281	female	FIN	EUR
HG00282	female	FIN	EUR
HG00284	male	FIN	EUR
HG00285	female	FIN	EUR
HG00288	female	FIN	EUR
HG00290	male	FIN	EUR
HG00302	female	FIN	EUR
HG00303	male	FIN	EUR
HG00304	female	FIN	EUR
HG00306	female	FIN	EUR
HG00308	male	FIN	EUR
HG00309	female	FIN	EUR
HG00310	male	FIN	EUR
HG00311	male	FIN	EUR
HG00312	male	FIN	EUR
HG00313	female	FIN	EUR
HG00315	female	FIN	EUR
